Message_ID,Timestamp,Text
216307,2026-04-04 11:54:07,Kernex microsystems (india): | co. announces strategic partnership with a leading tech firm to enhance product offerings; | focus on innovation and market expansion.
216308,2026-04-04 11:54:14,"Senores pharmaceuticals: | co announces strategic joint venture in the u.s. for federal and defense sector supplies; | jv entity named amerisyn, llc for government procurement market."
216309,2026-04-04 11:54:34,"Apollo hospitals enterprise: | nclt approves composite scheme of arrangement involving apollo healthco, keimed, and apollo healthtech | meetings of shareholders and creditors to be convened for approval."
216310,2026-04-04 11:54:41,"Bank of baroda | co announces change in senior management personnel; appointment of mr. nema rakesh as cgm, it operations and mr. singh sanjay kumar as head official languages & parliamentary committees effective from april 2, 2026."
216311,2026-04-04 11:54:54,"Avenue supermarts limited: | co q4 fy26 standalone revenue reaches ₹17,204.50 crores; up from ₹14,462.39 crores in q4 fy25 | total stores at 500, one closed for reconstruction."
216312,2026-04-04 11:55:03,"Idfc first bank | loans & advances grew 20% yoy to ₹2,90,362 crores | customer deposits increased 17.2% yoy to ₹2,84,327 crores; casa ratio at 49.8% as of march 31, 2026."
216313,2026-04-04 11:55:15,Vikran engineering ltd | co receives ₹530.80 crore orders from msedcl for power distribution enhancement program | contracts include nashik and kolhapur zones; work to be completed in 21 months
216314,2026-04-04 11:56:06,"Prestige estates projects limited: | co launches mega 5,120-unit township 'prestige golden grove' in hyderabad with gdv of ₹9,500 cr; | project spread across 28.6 acres with total saleable area of ~10.36 million sq ft"
216315,2026-04-04 11:56:17,Vedanta ltd: | co announces record production numbers for q4 and fy26; | highest ever annual aluminium and alumina production; | record mined metal production at zinc india; q4 silver production up 11% qoq; power sales increased 43% yoy.
216316,2026-04-04 11:56:39,"Jash engineering: | co. acquires 100% stake in penstocks (uk) limited for £550,000; | acquisition to establish pan uk presence and support clientele in water utilities."
216317,2026-04-04 11:58:52,"L&t finance: | co reports retail disbursements of ~₹24,080 crores for q4 fy26, up 62% y-o-y; | full year disbursements estimated at ~₹83,190 crores, up 39% y-o-y; | retail loan book grows to ~₹1,19,550 crores, up 26% y-o-y."
216422,2026-04-05 08:05:06,Iranian drone attacks cause 'serious material damage' at kuwait power and water plants
216423,2026-04-05 08:05:09,"Donald trump to use more stealth missiles on iran, reports us media"
216424,2026-04-05 08:05:11,Four airports in italy impose restrictions on refuelling
